open_library_id,title,authors,first_publish_year,edition_count,primary_language,language_count,has_full_text
OL10000128W,Muhadarat fi al-siyasah wa-al-marifah,Ghassan Tuwayni,1997.0,1,ara,1,False
OL10000190W,La bioéthique,Valérie Marange,1998.0,1,fre,1,True
OL10000213M,"Parliamentary Debates, Dcxl",Unknown,2003.0,1,eng,1,False
OL10000214M,Parliamentary Debates Fifth Series,Unknown,2003.0,1,eng,1,False
OL10000219M,Parliamentary Debates Fifth Series,Unknown,2003.0,1,eng,1,False
OL10000220M,Parliamentary Debates Fifth Series,Unknown,2003.0,1,eng,1,False
OL10000222M,Parliamentary Debates Fifth Series,Unknown,2003.0,1,eng,1,False
OL10000229M,"Parliamentary Debates, House Of Lords",Unknown,2004.0,1,eng,1,False
OL10000231M,"Parliamentary Debates, House of Lords - Bound Volumes",Unknown,2005.0,1,eng,1,False
OL10000234M,Parliamentary Debates (House of Lords Official Report),Unknown,2005.0,1,eng,1,False
OL10000235M,House of Lords Official Report (Parliamentary Debates Hansard Session 2005-06),Unknown,2005.0,1,eng,1,False
OL10000236M,House of Lords Official Report (Parliamentary Debates Hansard Session 2005-06),Unknown,2005.0,1,eng,1,False
OL10000239M,House of Lords Official Report 5th Series,Unknown,2006.0,1,eng,1,False
OL10000251M,Journals of the House of Lords,Unknown,2005.0,1,eng,1,False
OL10000252M,Journals of the House of Lords,Unknown,2005.0,1,eng,1,False
OL10000586W,Une theórie de l'Et́at esclavagiste,Gérard Hugues,2004.0,1,fre,1,False
OL10000988W,La bulle,Nathalie Brion,2006.0,2,fre,1,False
OL10001042W,Religions de guérison,Régis Dericquebourg,1988.0,1,fre,1,False
OL1000123W,All the Way to the Gallows,David Drake,1996.0,1,eng,1,True
OL1000124W,An Oblique Approach,David Drake,1998.0,2,eng,1,True
OL1000127W,Battlestation,David Drake,1992.0,1,eng,1,True
OL10001281W,Gauche-Droite,Marc Riglet-Chevanche,2002.0,1,fre,1,False
OL1000130W,The butcher's bill,David Drake,1998.0,1,eng,1,True
OL1000132W,The Complete Hammer's Slammers Volume 1 (Complete Hammer's Slammers),David Drake,2009.0,1,eng,1,False
OL1000134W,The Complete Hammer's Slammers Volume 3,David Drake,2007.0,1,eng,1,False
OL1000135W,Crisis of empire,David Drake,1988.0,1,eng,1,False
OL1000136W,"Dagger (Thieves World Novel, No 5)",David Drake,1988.0,1,eng,1,True
OL1000147W,Explorers in hell,David Drake,1989.0,1,eng,1,True
OL1000148W,The far side of the stars,David Drake,2003.0,1,eng,1,True
OL1000149W,"Fireships (Igniting the Reaches , No 3)",David Drake,1997.0,1,eng,1,False
OL1000151W,Fortress,David Drake,1987.0,1,eng,1,False
OL1000152W,Fortress (Tom Kelly),David Drake,1988.0,1,eng,1,True
OL1000157W,Grimmer than hell,David Drake,2003.0,1,eng,1,True
OL1000160W,Igniting the reaches,David Drake,1994.0,1,eng,1,True
OL1000162W,In the stormy red sky,David Drake,2009.0,1,eng,1,True
OL1000163W,"Justice (Northworld, 3)",David Drake,1992.0,1,eng,1,True
OL1000164W,Lacey and His Friends,David Drake,1986.0,1,eng,1,False
OL1000169W,"MEN HUNTING THINGS (Starhunters, Vol 1)",David Drake,1988.0,1,eng,1,True
OL1000173W,Northworld Trilogy,David Drake,1999.0,1,eng,1,True
OL10001769W,Science-fiction et soucoupes volantes,Bertrand Méheust,1978.0,1,fre,1,False
OL1000178W,The reaches,David Drake,2004.0,1,eng,1,True
OL1000180W,Rolling Hot,David Drake,1989.0,1,eng,1,True
OL1000185W,"Some Golden Harbor (RCN - Lt. Leary, Book 5)",David Drake,2006.0,1,eng,1,True
OL1000186W,The Square Deal,David Drake,1993.0,1,eng,1,True
OL1000190W,Surface Action,David Drake,1990.0,1,eng,1,True
